PALABRA,FRECUEN
abaldonadamente,0
abarrancamiento,0
abdicativamente,0
aburguesamiento,3
acaudillamiento,0
acomplejamiento,1
acondicionadora,0
acongojadamente,0
acrecentamiento,1
acrisoladamente,0
acristalamiento,0
acuartelamiento,0
adelantadamente,0
adjetivadamente,0
administratoria,0
administratorio,0
adoctrinamiento,3
aerotransportar,0
afortunadamente,38
afrancesamiento,0
agramaticalidad,0
aguascalentense,0
ahervoradamente,0
ajusticiamiento,0
alborotapueblos,0
alborozadamente,1
aleccionamiento,0
alfabéticamente,3
allanabarrancos,0
amaestradamente,0
amarteladamente,0
americanización,0
ametrallamiento,0
amontonadamente,0
amortiguamiento,0
anatematizadora,0
anatomopatóloga,0
anatomopatólogo,0
anglocanadiense,0
animadvertencia,0
anquialmendrada,0
anquialmendrado,0
anquilosamiento,0
antiafrodisiaca,0
antiafrodisíaca,0
antiafrodisiaco,0
antiafrodisíaco,0
antiescorbútica,0
antiescorbútico,0
antiespasmódica,0
antiespasmódico,1
antiliberalismo,0
antimilitarismo,2
antimilitarista,1
antiministerial,0
antiparasitaria,0
antiparasitario,0
antiperistática,0
antiperistático,0
antipontificado,0
antituberculosa,0
antituberculoso,0
antojadizamente,0
antropocéntrica,2
antropocéntrico,1
antropomorfismo,1
apasionadamente,7
apelmazadamente,0
apoltronamiento,0
apostólicamente,0
apremiantemente,0
aprovechamiento,12
aproximadamente,69
arbitrariamente,2
aristoloquiácea,0
aristoloquiáceo,0
arrastradamente,0
arrebatadamente,0
arrebatapuñadas,0
arrebujadamente,0
arrepanchigarse,0
arrepentimiento,9
arrinconamiento,0
arrodillamiento,0
articuladamente,1
ateroesclerosis,0
atestiguamiento,0
atolondramiento,0
atropellamiento,1
atropellaplatos,0
audiofrecuencia,0
audioprotesista,0
automovilística,2
automovilístico,1
autorizadamente,0
autorregulación,0
autorreguladora,0
autosuficiencia,4
aventureramente,0
avergonzamiento,0
averiguadamente,0
avituallamiento,1
bacteriostática,0
bacteriostático,0
bibliotecología,0
biblioteconomía,0
bienaventuranza,1
bioelectricidad,0
blanquecimiento,0
braquiocefálica,0
braquiocefálico,0
buenaventuriana,0
buenaventuriano,0
bulliciosamente,0
caballerilmente,0
cadenciosamente,0
calamitosamente,0
calificadamente,1
calumniosamente,1
campechanamente,0
capitidisminuir,0
caracterización,18
caracterizadora,0
caracterológica,0
caracterológico,0
cariacuchillada,0
cariacuchillado,0
carpetovetónica,1
carpetovetónico,1
casquiderramada,0
casquiderramado,0
castellanamente,0
categóricamente,0
cefalorraquídeo,1
centroamericana,1
centroamericano,1
chilpancingueña,0
chilpancingueño,0
cicatrizamiento,0
cienmillonésima,0
cienmillonésimo,0
científicamente,6
cinematografiar,0
cinematográfica,26
cinematográfico,13
circunferencial,0
circunscripción,1
circunstanciada,2
circunstanciado,0
citodiagnóstico,0
clavicembalista,0
coadministrador,0
colectivización,0
colesterolhemia,0
combustibilidad,1
compactibilidad,0
competentemente,0
complementación,0
completivamente,0
compresibilidad,0
comunicabilidad,0
comunicatividad,0
concatedralidad,0
concatenamiento,0
concertadamente,0
condensabilidad,0
condescendencia,6
condescendiente,8
conductibilidad,0
confeccionadora,0
confesionalidad,0
confidentemente,0
confirmadamente,0
confortabilidad,0
congraciamiento,0
congratulatoria,0
congratulatorio,0
connaturalmente,0
conservadorismo,0
conservadurismo,6
constreñimiento,0
constriñimiento,0
constructivismo,3
consuetudinaria,0
consuetudinario,0
contemporizador,0
continentemente,0
continuadamente,1
contraalmirante,0
contrabajonista,0
contrabalancear,0
contracorriente,4
contradurmiente,0
contraemboscada,0
contraescritura,0
contraespionaje,1
contraguerrilla,0
contraindicante,0
contramalladura,0
contrapalanquín,0
contrapotenzada,0
contrapotenzado,0
contraprincipio,0
contrarregistro,0
contratorpedero,0
contratrinchera,0
convalecimiento,0
conventualmente,0
convertibilidad,0
coordinadamente,0
coparticipación,0
copulativamente,0
correctibilidad,0
correligionaria,0
correligionario,2
correspondencia,65
correspondiente,66
corrompidamente,0
corruptibilidad,0
costringimiento,0
cristalográfica,2
cristalográfico,0
cristianización,2
cromolitografía,0
cromotipografía,0
cuadruplicación,0
cuellidegollada,0
cuellidegollado,0
cuestionamiento,2
cumulativamente,0
cundinamarquesa,0
dactiloscopista,0
decalcificación,0
defallecimiento,0
definitivamente,99
deleitabilísima,0
deleitabilísimo,0
democratización,4
demonstramiento,0
denominadamente,0
derechohabiente,0
derramaplaceres,0
derrancadamente,0
desacatadamente,0
desacoplamiento,0
desacordamiento,0
desacostumbrada,2
desacostumbrado,2
desacreditadora,0
desafinadamente,0
desaforadamente,1
desafuciamiento,0
desahogadamente,0
desamoradamente,0
desamortización,0
desamortizadora,0
desamparamiento,0
desanimadamente,0
desapacibilidad,0
desarticulación,1
desastradamente,0
desatentamiento,0
desatinadamente,0
desatornillador,0
desautorización,0
desayuntamiento,0
desbaratamiento,0
descabalamiento,0
descabezamiento,0
descalificación,2
descansadamente,0
descarnadamente,0
descarriamiento,0
descarrilladura,0
descascarillada,0
descascarillado,1
descatolización,0
descimbramiento,0
descodificación,0
descodificadora,0
descolladamente,0
descolonización,0
descoloramiento,0
descolorimiento,0
descomedimiento,0
descompensación,0
descomunalmente,0
desconcertadora,0
desconcertadura,0
descongestionar,0
desconocimiento,7
descontentadiza,0
descontentadizo,0
descontinuación,0
desconveniencia,0
desconvocatoria,0
descristianizar,0
descuadrillarse,0
descuajeringada,0
descuajeringado,0
descuernacabras,0
desempeñamiento,0
desencajamiento,0
desencalabrinar,0
desencapotadura,0
desencogimiento,0
desenconamiento,0
desencuadernada,0
desencuadernado,1
desengañamiento,0
desenhadamiento,0
desenladrillado,0
desenseñamiento,0
desensoberbecer,0
desentonamiento,0
desesperamiento,0
desesperanzador,0
desfiguramiento,0
desgarradamente,0
desheredamiento,0
deshumanización,2
desincentivador,0
desinsaculación,0
desintoxicación,0
deslechuguillar,0
deslenguamiento,0
deslumbramiento,6
desmadejamiento,0
desmaquilladora,0
desmejoramiento,0
desmelancolizar,0
desmelenamiento,0
desmembramiento,0
desmenuzamiento,1
desmeollamiento,0
desmerecimiento,0
desmitificación,1
desmonetización,0
desmoralización,6
desmoralizadora,0
desmoronamiento,7
desmovilización,0
desnacionalizar,0
desnaturalizada,1
desnaturalizado,1
desnaturamiento,0
desocupadamente,0
desordenamiento,0
desorganización,1
desorganizadora,0
despachadamente,0
despaciosamente,3
despaldilladura,0
despechadamente,0
despectivamente,2
despedazamiento,0
despeluzamiento,1
despenalización,4
desperdiciadora,0
desperdiciadura,0
despersonalizar,0
despilaramiento,0
despilfarradora,0
desplegadamente,0
despolarización,1
despolarizadora,0
despolitización,4
desportilladura,0
despreciamiento,0
desprendimiento,5
despreocupación,8
desproporcionar,0
desproveimiento,0
desquiciamiento,0
destemplamiento,0
destentadamente,0
destripacuentos,0
destroncamiento,0
desvalijamiento,0
desvalorización,0
desvanecimiento,2
desvaporizadero,0
desvariadamente,0
determinamiento,0
diezmillonésima,0
diezmillonésimo,0
diminutivamente,0
dinamoeléctrica,0
dinamoeléctrico,0
dipterocarpácea,0
dipterocarpáceo,0
discontinuación,0
disconveniencia,0
discriminatoria,1
discriminatorio,0
disculpadamente,0
disgustadamente,0
disimuladamente,9
dispensabilidad,0
distanciamiento,13
disyuntivamente,0
diversificación,2
ejemplificación,0
electrificación,0
electroacústica,0
electroacústico,0
electrobiología,0
electrocinética,0
electrodinámica,1
electrodinámico,2
electrolización,0
electrolizadora,0
electromecánica,0
electromecánico,0
electronegativa,0
electronegativo,1
electropositiva,0
electropositivo,0
electroterápica,0
electroterápico,0
embalsamamiento,2
embarazadamente,0
embarazosamente,0
embarnecimiento,0
embebecidamente,0
embellaquecerse,0
embellecimiento,0
emblanquimiento,0
emborrazamiento,0
embotellamiento,4
embravecimiento,0
embrolladamente,0
embrutecimiento,1
eminencialmente,0
empadronamiento,0
empastelamiento,0
empobrecimiento,7
empoltronecerse,0
empolvoramiento,0
emponzoñamiento,0
emprestilladora,0
encabalgamiento,0
encanallamiento,0
encarcelamiento,0
encarecidamente,0
encarnizamiento,0
encomendamiento,0
encomenzamiento,0
encontradamente,0
encubiertamente,1
encumbradamente,0
enderezadamente,0
endiabladamente,1
endocrinológica,0
endocrinológico,0
endurecidamente,0
enemigablemente,0
enfervorizadora,0
enfurruñamiento,0
enigmáticamente,0
enlechuguillada,0
enlechuguillado,0
enloquecimiento,1
enmascaramiento,3
ennegrecimiento,0
ennoblecimiento,1
enorgullecedora,0
enriquecimiento,5
ensimismamiento,8
ensordecimiento,0
ensortijamiento,0
enternecimiento,0
entontecimiento,0
entormecimiento,0
entorpecimiento,1
entrañablemente,1
entrelazamiento,1
entremetimiento,0
entremezcladura,0
entrerrenglonar,0
entretejimiento,1
entretenimiento,19
entrevenimiento,0
entrometimiento,0
equiponderancia,0
equitativamente,0
equivocadamente,2
escabullimiento,0
escalentamiento,0
escandalizadora,0
escandalizativa,0
escandalizativo,0
escarnecimiento,0
escatimosamente,0
esclarecimiento,5
escleroproteína,0
escrofulariácea,0
escrofulariáceo,0
escudriñamiento,0
espantablemente,0
espantanublados,0
espantavillanos,0
esparragamiento,0
especialización,18
específicamente,23
espectroscópica,0
espectroscópico,0
espeluznamiento,0
espermatozoario,0
espiritosamente,0
espiritualmente,4
espléndidamente,4
espontáneamente,16
esquematización,1
establecimiento,36
estacionamiento,0
estandarización,1
estercolamiento,0
estereotipadora,0
estigmatizadora,0
estratificación,4
estremecimiento,19
estrucioniforme,0
estructuralismo,6
estructuralista,8
etnolingüística,0
evangélicamente,0
excéntricamente,0
excomulgamiento,0
existencialismo,10
existencialista,3
experimentación,13
experimentadora,0
explicablemente,1
extemporaneidad,0
exteriorización,5
extracurricular,0
extralimitación,0
extrínsecamente,0
fantásticamente,0
farfulladamente,0
fastidiosamente,0
figurativamente,1
filológicamente,0
filosóficamente,2
fortalecimiento,0
fotocomponedora,0
fotocomposición,0
fotolitografiar,0
fotolitográfica,0
fotolitográfico,0
fototipográfica,0
fototipográfico,0
fraccionamiento,0
fraudulosamente,0
fructíferamente,1
galvanoplástica,0
galvanoplástico,0
gastroenteritis,0
geoestacionaria,6
geoestacionario,0
geográficamente,0
geométricamente,3
geropsiquiatría,0
gobernadorcillo,0
gramaticalmente,0
grandilocuencia,4
guardacartuchos,0
harmoniosamente,0
heliotelegrafía,0
hermafroditismo,0
hermanablemente,0
hierosolimitana,0
hierosolimitano,0
higroscopicidad,0
hiperclorhidria,0
hipertiroidismo,0
hipoclorhídrica,0
hipoclorhídrico,0
hipotéticamente,6
hispanohablante,0
historiográfica,3
historiográfico,2
homogeneización,1
honoríficamente,0
horizontalmente,2
hormigueamiento,0
hospedablemente,0
hospitalización,2
imaginariamente,1
impacientemente,0
imperativamente,1
imperfectamente,0
impermeabilidad,2
impermeabilizar,0
impersonalmente,0
implacablemente,9
impolíticamente,0
importantemente,0
impremeditación,0
imprescriptible,0
improbablemente,0
improporcionada,0
improporcionado,0
imprudentemente,1
inaccesibilidad,2
inadaptabilidad,0
inalienabilidad,0
inalterabilidad,0
incansablemente,3
incestuosamente,0
incidentalmente,1
incircunscripta,0
incircunscripto,0
incomparecencia,0
incompletamente,0
inconmensurable,7
inconsideración,0
inconsultamente,0
incorporalmente,0
incorrectamente,1
incorruptamente,0
incristalizable,0
inculpablemente,0
indecorosamente,1
indefinidamente,18
independentismo,0
independentista,2
inderogabilidad,0
indeterminación,8
indisciplinable,0
indisciplinarse,0
indiscretamente,0
indisolubilidad,0
indistintamente,10
individualmente,10
indivisibilidad,0
indubitadamente,0
indulgentemente,1
ineludiblemente,2
inequívocamente,9
inesperadamente,20
inestimabilidad,0
inevitablemente,36
inexorablemente,14
infintuosamente,0
inflexiblemente,1
informatización,1
infraestructura,7
inmaculadamente,0
inmerecidamente,0
inmoderadamente,0
inmortificación,0
inmotivadamente,0
innumerabilidad,0
inoportunamente,1
inordenadamente,0
insaciablemente,0
insatisfactoria,1
insatisfactorio,4
insensiblemente,7
inseparabilidad,0
insignificancia,4
insistentemente,11
instintivamente,15
institucionista,0
instrumentación,4
insubordinación,0
insufriblemente,0
integracionista,0
intelectualidad,4
intelectualizar,0
inteligibilidad,5
intencionalidad,11
intensificación,4
interesadamente,1
interindividual,0
interplanetaria,0
interplanetario,1
intersexualidad,0
intolerabilidad,0
intransitividad,0
intrascendencia,1
intrascendental,0
intrincadamente,0
intrínsecamente,2
invariablemente,21
invenciblemente,1
inverisimilitud,0
inverosimilitud,0
inveteradamente,0
inviolablemente,0
invirtuosamente,0
involuntariedad,0
irracionalmente,1
irreconciliable,0
irreglamentable,0
irreivindicable,0
irreprehensible,0
irrepresentable,0
irrespetuosidad,0
irrevocabilidad,0
jerárquicamente,0
justipreciación,0
kinesioterápica,0
kinesioterápico,0
lamentablemente,9
latinoamericana,2
latinoamericano,6
latitudinarismo,0
libidinosamente,0
licenciosamente,0
limpiachimeneas,0
litofotografiar,0
magnetocalórica,0
magnetocalórico,0
majestuosamente,1
malacostumbrada,0
malacostumbrado,0
malcontentadiza,0
malcontentadizo,0
malintencionada,0
malintencionado,1
manifestamiento,0
manifiestamente,4
manufacturación,0
masculinización,0
matemáticamente,1
materialización,5
mediopensionado,0
melindrosamente,0
melquisedeciana,0
melquisedeciano,0
menospreciadora,0
menospreciativa,0
menospreciativo,0
metafísicamente,5
metafóricamente,2
metalingüística,0
metalingüístico,0
meticulosamente,7
microfotografía,0
microprocesador,1
mineromedicinal,0
miniaturización,1
ministerialismo,0
miraculosamente,0
misteriosamente,9
momentáneamente,8
monárquicamente,0
monocotiledónea,0
monocotiledóneo,0
monstruosamente,1
multimillonaria,1
multimillonario,4
municionamiento,0
nacionalización,3
narcotraficante,1
navarroaragonés,0
negligentemente,1
neocolonialismo,2
neoplatonicismo,0
neuroanatomista,0
neuroembrióloga,0
neuroembriólogo,0
neurotransmisor,0
nobilísimamente,0
obrepticiamente,0
obscurecimiento,0
obsequiosamente,1
obstruccionismo,0
obstruccionista,2
ocasionadamente,0
originariamente,5
ostensiblemente,11
paleontográfica,0
paleontográfico,0
paleopatológica,0
paleopatológico,0
panamericanismo,0
panamericanista,0
parapsicológica,0
parapsicológico,1
parlamentarismo,0
partenogenética,0
partenogenético,0
particularmente,54
patrimonialidad,0
patrimonialista,0
pecuniariamente,0
pedagógicamente,0
pedantescamente,0
perceptibilidad,0
perdurablemente,0
perentoriamente,1
perfeccionadora,0
perfectibilidad,0
permanentemente,22
perniciosamente,0
personificación,5
pertinentemente,0
perturbadamente,0
petroleoquímica,0
petroleoquímico,0
placenteramente,1
poiquilotérmica,0
poiquilotérmico,0
pontificalmente,0
portaestandarte,0
portentosamente,1
posicionamiento,2
postrimeramente,0
preceptivamente,0
preferentemente,19
preferiblemente,1
preliminarmente,0
premonstratense,0
preocupadamente,0
prepósteramente,0
preseleccionada,0
preseleccionado,0
presencialmente,0
prestidigitador,5
presuntivamente,0
preventivamente,0
proceleusmático,0
procrastinación,0
prodigiosamente,4
productibilidad,0
profesionalidad,3
profesionalismo,0
profesionalizar,1
progresivamente,20
prolongadamente,1
pronunciamiento,3
propagandística,0
propagandístico,1
protocolización,0
protoplasmática,0
protoplasmático,0
provechosamente,1
proverbialmente,1
prudencialmente,1
psicopedagógica,0
psicopedagógico,1
publirreportaje,0
quebrantahuesos,0
quebrantamiento,1
querellosamente,0
quijotescamente,0
quinesioterapia,0
quinesiterápica,0
quinesiterápico,0
quintanarroense,0
quintuplicación,0
quisquillosidad,0
racionalización,7
radioaficionada,0
radioaficionado,0
radioastronomía,1
radiofrecuencia,0
radiotelefónica,0
radiotelefónico,0
radiotelegrafía,0
radiotelescopio,1
radiotransmisor,1
recalentamiento,0
reconcentración,0
reconocidamente,0
reconquistadora,1
reconstituyente,1
recrudecimiento,1
redundantemente,0
reflorecimiento,0
refrangibilidad,0
regocijadamente,0
regradecimiento,0
reguardadamente,0
reincorporación,3
reivindicatoria,0
reivindicatorio,0
replanteamiento,1
repugnantemente,0
resolutivamente,0
respectivamente,30
respetuosamente,1
resplandecencia,0
respondidamente,0
responsabilidad,78
responsabilizar,0
resquebrajadiza,0
resquebrajadizo,0
resquebrajadura,0
retoricadamente,0
retropropulsión,0
revientacaballo,0
revuelvepiedras,0
robustecimiento,0
sacrosantamente,0
salutíferamente,0
sanctasanctórum,0
sangrientamente,1
sarcásticamente,2
secundariamente,2
segregacionismo,0
segregacionista,0
segundariamente,0
segundogenitura,0
sempiternamente,0
sensacionalismo,2
sensacionalista,2
sensibilización,0
sensibilizadora,0
sentimentalismo,3
septingentésima,0
septingentésimo,0
serodiagnóstico,0
serpentinamente,0
significamiento,0
silenciosamente,9
similitudinaria,0
similitudinario,0
simultáneamente,50
sinvergonzonada,0
sinvergüencería,0
sistematización,7
soberbiosamente,0
sobreabundancia,0
sobrecogimiento,1
sobreexcitación,1
sobreproducción,0
sobrepujamiento,0
solevantamiento,0
soñolientamente,0
sospechosamente,4
subarrendataria,0
subarrendatario,0
subdesarrollada,0
subdesarrollado,0
subministración,0
subministradora,0
substantivación,0
suficientemente,77
superabundancia,1
superconductora,1
supererogatoria,0
supererogatorio,0
superestructura,4
superferolítica,0
superferolítico,0
superficialidad,2
superheterodino,0
superintendente,17
superproducción,2
supervaloración,0
supraclavicular,0
susceptibilidad,2
sustancialmente,14
sustantivamente,0
telefónicamente,2
tempestivamente,0
terminantemente,3
territorialidad,1
territorialismo,0
tradicionalismo,3
tradicionalista,4
tranquilizadora,2
transfiguración,5
translimitación,0
transliteración,0
transmigratoria,0
transmigratorio,0
transmudamiento,0
transubstancial,0
transubstanciar,0
trasformamiento,0
trasportamiento,0
trastornamiento,0
trastrocamiento,0
trasuntivamente,0
trasverberación,0
triangularmente,0
trimestralmente,0
trinitrotolueno,1
tripanosomiasis,1
triunfantemente,0
tuberculización,0
tumbacuartillos,0
tumultuosamente,0
turboalternador,0
turbulentamente,0
ultracorrección,0
ultramontanismo,0
vergonzosamente,1
vicecancillería,0
viceconsiliaria,0
viceconsiliario,0
vicegobernadora,0
vicepresidencia,3
vicisitudinaria,0
vicisitudinario,0
victoriosamente,0
videofrecuencia,0
villavicenciuna,0
villavicenciuno,0
vitivinicultora,0
vitivinicultura,0
vituperosamente,0
voluntariamente,17
voluptuosamente,0